Postcode,Total_daily_wateruse(BG/d),Total Wateruse 2015,Population 2015,% Growth Population (2015-2020),Population 2020,% Growth Water demand,Water Demand 2020,% Growth Population (2020-2030),Population 2030,% Growth Water demand,Water Demand 2030,% Growth Population (2030-2040),Population 2040,% Growth Water demand,Water Demand 2040,% Growth Population (2040-2050),Population 2050,% Growth Water demand,Water Demand 2050,% Growth Population (2050-2060),Population 2060,% Growth Water demand,Water Demand 2060,% Growth Population (2060-2070),Population 2070,% Growth Water demand,Water Demand 2070,% Growth Population (2070-2080),Population 2080,% Growth Water demand,Water Demand 2080,% Growth Population (2080-2090),Population 2090,% Growth Water demand,Water Demand 2090
11420,0.000517323,0.188822895,47470,3.15%,48965,3.15%,0.194770816,4.90%,51365,4.90%,0.204314586,4.90%,53881,4.90%,0.214326001,4.90%,56522,4.90%,0.224827975,4.90%,59291,4.90%,0.235844546,4.90%,62196,4.90%,0.247400928,4.90%,65244,4.90%,0.259523574,4.90%,68441,4.90%,0.272240229
11421,0.003315713,1.210235245,41251,3.15%,42550,3.15%,1.248357655,4.90%,44635,4.90%,1.30952718,4.90%,46823,4.90%,1.373694012,4.90%,49117,4.90%,1.441005019,4.90%,51524,4.90%,1.511614265,4.90%,54048,4.90%,1.585683364,4.90%,56697,4.90%,1.663381848,4.90%,59475,4.90%,1.744887559
11422,0.000842099,0.307366135,32761,3.15%,33793,3.15%,0.317048168,4.90%,35449,4.90%,0.332583528,4.90%,37186,4.90%,0.348880121,4.90%,39008,4.90%,0.365975247,4.90%,40919,4.90%,0.383908034,4.90%,42924,4.90%,0.402719528,4.90%,45028,4.90%,0.422452785,4.90%,47234,4.90%,0.443152971
11423,0.004101303,1.496975595,30104,3.15%,31052,3.15%,1.544130326,4.90%,32574,4.90%,1.619792712,4.90%,34170,4.90%,1.699162555,4.90%,35844,4.90%,1.78242152,4.90%,37601,4.90%,1.869760175,4.90%,39443,4.90%,1.961378423,4.90%,41376,4.90%,2.057485966,4.90%,43403,4.90%,2.158302778
11426,0.000495317,0.180790705,20524,3.15%,21171,3.15%,0.186485612,4.90%,22208,4.90%,0.195623407,4.90%,23296,4.90%,0.205208954,4.90%,24438,4.90%,0.215264193,4.90%,25635,4.90%,0.225812138,4.90%,26891,4.90%,0.236876933,4.90%,28209,4.90%,0.248483903,4.90%,29591,4.90%,0.260659614
11427,0.002932553,1.070381845,24560,3.15%,25334,3.15%,1.104098873,4.90%,26575,4.90%,1.158199718,4.90%,27877,4.90%,1.214951504,4.90%,29243,4.90%,1.274484128,4.90%,30676,4.90%,1.33693385,4.90%,32179,4.90%,1.402443609,4.90%,33756,4.90%,1.471163346,4.90%,35410,4.90%,1.543250349
11428,0.000647548,0.23635502,18836,3.15%,19429,3.15%,0.243800203,4.90%,20381,4.90%,0.255746413,4.90%,21380,4.90%,0.268277987,4.90%,22428,4.90%,0.281423609,4.90%,23527,4.90%,0.295213366,4.90%,24679,4.90%,0.30967882,4.90%,25889,4.90%,0.324853083,4.90%,27157,4.90%,0.340770884
11429,0.000685988,0.25038562,27454,3.15%,28319,3.15%,0.258272767,4.90%,29706,4.90%,0.270928133,4.90%,31162,4.90%,0.284203611,4.90%,32689,4.90%,0.298129588,4.90%,34291,4.90%,0.312737938,4.90%,35971,4.90%,0.328062097,4.90%,37734,4.90%,0.34413714,4.90%,39583,4.90%,0.360999859
11430,0.003125389,1.140766985,206,3.15%,212,3.15%,1.176701145,4.90%,223,4.90%,1.234359501,4.90%,234,4.90%,1.294843117,4.90%,245,4.90%,1.358290429,4.90%,257,4.90%,1.42484666,4.90%,270,4.90%,1.494664147,4.90%,283,4.90%,1.56790269,4.90%,297,4.90%,1.644729922
11432,0.031587684,11.52950466,64299,3.15%,66324,3.15%,11.89268406,4.90%,69574,4.90%,12.47542558,4.90%,72983,4.90%,13.08672143,4.90%,76560,4.90%,13.72797078,4.90%,80311,4.90%,14.40064135,4.90%,84246,4.90%,15.10627277,4.90%,88374,4.90%,15.84648014,4.90%,92705,4.90%,16.62295767
11433,0.003420864,1.24861536,37021,3.15%,38187,3.15%,1.287946744,4.90%,40058,4.90%,1.351056134,4.90%,42021,4.90%,1.417257885,4.90%,44080,4.90%,1.486703521,4.90%,46240,4.90%,1.559551994,4.90%,48506,4.90%,1.635970041,4.90%,50883,4.90%,1.716132573,4.90%,53376,4.90%,1.80022307
